[2019/11/4 - 7:22:43] AdmCmd: Yung Hercules has been prisoned by Fredy, reason: DM
[2019/11/4 - 7:41:14] AdmCmd: Erika Akane has been prisoned by Darvin, reason: DM+PG
[2019/11/4 - 8:22:24] AdmCmd: Alex Murphy has been prisoned by Darvin, reason: DM
[2019/11/4 - 8:22:31] AdmCmd: Kayleigh Murphy has been prisoned by Darvin, reason: DM
[2019/11/4 - 8:22:51] AdmCmd: Alex Murphy has been prisoned by Darvin, reason: .
[2019/11/4 - 8:25:13] AdmCmd: Kayleigh Murphy has been prisoned by Darvin, reason: DM(Adjusted) 
[2019/11/4 - 9:28:18] AdmCmd: Tom Fortis has been prisoned by Lucifer Anderson, reason: Kos
[2019/11/4 - 9:42:30] AdmCmd: Tom_Fortis has been offline prisoned by Moonlight, reason: Deathmatching/KOS
[2019/11/4 - 9:44:49] AdmCmd: Castro Owen has been prisoned by Sherlock King Demon, reason: KoS
[2019/11/4 - 10:06:46] AdmCmd: Arturo Murillo has been prisoned by William, reason: NJ
[2019/11/4 - 10:18:51] AdmCmd: Gab Deleon has been prisoned by Fiona Mccarthy, reason: deathmatching
[2019/11/4 - 10:45:58] AdmCmd: Gab Deleon has been prisoned by Fiona Mccarthy, reason: Powergaming
[2019/11/4 - 11:23:35] AdmCmd: Larry Falcon has been prisoned by Thug, reason: DM
[2019/11/4 - 11:24:35] AdmCmd: Ben Falcon has been prisoned by Thug, reason: DM
[2019/11/4 - 11:31:09] AdmCmd: Erika Akane has been prisoned by Thug, reason: DM
[2019/11/4 - 12:43:56] AdmCmd: Hamzo Freeman has been prisoned by Dai Aizukotetsu, reason: Metagaming
[2019/11/4 - 13:17:49] AdmCmd: Rody Duterte has been prisoned by Ryuusaki Hanako, reason: Deathmatching
[2019/11/4 - 13:19:35] AdmCmd: Rody Duterte has been prisoned by Darvin, reason: Reduced (Ryuusaki Hanako)
[2019/11/4 - 13:31:08] AdmCmd: Ryan Bang has been prisoned by Mickey Freeman, reason: dm
[2019/11/4 - 23:14:59] AdmCmd: Tom Rose has been prisoned by Scorpion, reason: DM
[2019/11/4 - 23:21:57] AdmCmd: Tom Rose has been prisoned by Emily Parker, reason: RK
[2019/11/4 - 23:22:04] AdmCmd: Kevin Rose has been prisoned by Emily Parker, reason: DM
[2019/11/5 - 5:59:36] AdmCmd: Tom Fortis has been prisoned by Scorpion, reason: Adjusted
[2019/11/5 - 7:42:49] AdmCmd: Ben Dover has been prisoned by Fiona Mccarthy, reason: Rk
[2019/11/5 - 7:57:46] AdmCmd: Tom Fortis has been prisoned by Darvin, reason: DM
[2019/11/5 - 7:58:38] AdmCmd: Angelica Blackwood has been prisoned by Darvin, reason: Sniper DM
[2019/11/5 - 7:59:14] AdmCmd: Tom Fortis has been prisoned by Darvin, reason: DM (Reduced)
[2019/11/5 - 7:59:29] AdmCmd: Tom Fortis has been prisoned by Scorpion, reason: Adjusted
[2019/11/5 - 8:01:37] AdmCmd: Tom Fortis has been prisoned by Darvin, reason: DM (0
[2019/11/5 - 8:27:24] AdmCmd: Sherwood K. Demon has been prisoned by Fredy, reason: DM
[2019/11/5 - 8:40:08] AdmCmd: Sherwood K. Demon has been prisoned by FionaM, reason: DeathMatching.
[2019/11/5 - 8:44:23] AdmCmd: Justin Rogers has been prisoned by FionaM, reason: Rk
[2019/11/5 - 9:06:33] AdmCmd: Juls Velasco has been prisoned by Mickey Freeman, reason: random shooting
[2019/11/5 - 9:11:32] AdmCmd: Tom Fortis has been prisoned by Akira, reason: Killing on Sight.
[2019/11/5 - 9:56:17] AdmCmd: Cris P Pata has been prisoned by FionaM, reason: Deathmatching.
[2019/11/5 - 10:27:52] AdmCmd: Juls Velasco has been prisoned by FionaM, reason: Mg'ed + Abusing ((/SU)), [FC] By Mickey Freeman
[2019/11/5 - 11:10:27] AdmCmd: Dave Snow has been prisoned by Tony, reason: DM
[2019/11/5 - 11:19:32] AdmCmd: Thea Dinice has been prisoned by Sherlock King Demon, reason: KoS
[2019/11/5 - 11:37:15] AdmCmd: Khalid Sage has been prisoned by Billy, reason: KOS
